fruit_name,エネルギー（kcal）,炭水化物,食物繊維総量,ナトリウム,カリウム,カルシウム,鉄,ビタミンB1,ビタミンB2,ナイアシン,ビタミンB6,ビタミンB12,ビタミンC
いちご,34,8.5,1.4,0,170,17,0.3,0.03,0.02,0.4,0.04,0,62
うめ,28,7.9,2.5,2,240,12,0.6,0.03,0.05,0.4,0.06,0,6
かき　,60,15.9,1.6,1,170,9,0.2,0.03,0.02,0.3,0.06,0,70
オレンジ,46,11.8,1,1,180,24,0.2,0.07,0.04,0.3,0.06,0,60
グレープフルーツ,38,9.6,0.6,1,140,15,0,0.07,0.03,0.3,0.04,0,36
シークヮーサー,25,7.9,0.3,2,180,17,0.1,0.08,0.03,0.3,0.03,0,11
すだち,20,6.6,0.1,1,140,16,0.2,0.03,0.02,0.2,0.08,0,40
ゆず　,21,7,0.4,1,210,20,0.1,0.05,0.02,0.2,0.02,0,40
レモン,54,12.5,4.9,4,130,67,0.2,0.07,0.07,0.2,0.08,0,100
キウイフルーツ,53,13.5,2.5,2,290,33,0.3,0.01,0.02,0.3,0.12,0,69
さくらんぼ,60,15.2,1.2,1,210,13,0.3,0.03,0.03,0.2,0.02,0,10
すいか,37,9.5,0.3,1,120,4,0.2,0.03,0.02,0.2,0.07,0,10
なし　,43,11.3,0.9,0,140,2,0,0.02,0,0.2,0.02,0,3
パインアップル　　,51,13.4,1.5,0,150,10,0.2,0.08,0.02,0.2,0.08,0,27
バナナ　,86,22.5,1.1,0,360,6,0.3,0.05,0.04,0.7,0.38,0,16
ぶどう　,59,15.7,0.5,1,130,6,0.1,0.04,0.01,0.1,0.04,0,2
マンゴー　　,64,16.9,1.3,1,170,15,0.2,0.04,0.06,0.7,0.13,0,20
メロン,42,10.4,0.5,6,350,6,0.2,0.05,0.02,0.8,0.11,0,25
もも,40,10.2,1.3,1,180,4,0.1,0.01,0.01,0.6,0.02,0,8
りんご,57,15.5,1.4,0,120,3,0.1,0.02,0,0.1,0.04,0,4
